bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
42435,In Harm's Way: The Sinking of the USS Indianapolis and the Extraordinary Story of Its Survivors,Doug Stanton,4.29,805073663,9780810000000.0,eng,339,16684,892,05/01/2003,Owl Books
42438,Harm's Way,Elizabeth Stewart,3.36,1419950584,9781420000000.0,eng,261,13,5,5/27/2005,Ellora's Cave
42439,Harm's Way: Lust & Madness & Murder & Mayhem,Joel-Peter Witkin/Stanley B. Burns,4.54,944092284,9780940000000.0,eng,132,58,3,10/01/1994,Twin Palms Publishers
42444,I Like Winter (Seasons  #3),Lois Lenski/Heidi Kilgras,3.94,375810684,9780380000000.0,eng,56,65,9,10/24/2000,Random House Books for Young Readers
42447,Strawberry Girl,Lois Lenski,3.87,64405850,9780060000000.0,eng,208,11143,423,4/26/2005,HarperCollins
42485,Betsy-Tacy and Tib (Betsy-Tacy  #2),Maud Hart Lovelace/Lois Lenski,4.17,006024416X,9780060000000.0,eng,128,83,16,11/09/1994,HarperCollins
42489,After Collapse: The Regeneration of Complex Societies,Glenn M. Schwartz,4.0,816525099,9780820000000.0,eng,336,0,0,5/25/2006,University of Arizona Press
42501,Seize The Fire,Elda Minger,4.0,373161174,9780370000000.0,eng,249,3,0,7/25/1985,Harlequin American Romance
42512,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore/Joseph L. Galloway,4.31,034547581X,9780350000000.0,eng,480,21876,451,11/23/2004,Presidio Press
42513,We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam),Harold G. Moore/Joseph L. Galloway,4.31,60506989,9780060000000.0,eng,535,166,24,02/05/2002,HarperTorch
42514,We were Soldiers Once... and young,Harold G. Moore/Joseph L. Galloway,4.31,552150266,9780550000000.0,eng,528,153,10,03/01/2002,Corgi
42519,Eisenhower: Soldier and President,Stephen E. Ambrose,3.98,671747584,9780670000000.0,eng,640,10718,126,10/15/1991,Simon  Schuster
42525,Dwight D. Eisenhower (The American Presidents  #34),Tom Wicker/Arthur M. Schlesinger Jr.,3.84,805069070,9780810000000.0,en-US,176,248,30,11/05/2002,Times Books
42528,Crusade in Europe,Dwight D. Eisenhower,4.08,080185668X,9780800000000.0,eng,559,1212,63,06/06/1997,Johns Hopkins University Press
42529,Total Cold War: Eisenhower's Secret Propaganda Battle at Home and Abroad,Kenneth Osgood,3.85,700614451,9780700000000.0,eng,506,18,1,2/23/2006,University Press of Kansas
42533,So Far from God: The U.S. War With Mexico  1846-1848,John S.D. Eisenhower,3.93,806132795,9780810000000.0,eng,464,271,29,9/15/2000,University of Oklahoma Press
42536,Yanks: The Epic Story of the American Army in World War I,John S.D. Eisenhower/Joanne Thompson Eisenhower,3.72,743223853,9780740000000.0,eng,368,110,15,06/04/2002,Free Press
42543,Eisenhower  Volume #2: The President,Stephen E. Ambrose,4.2,671605658,9780670000000.0,eng,749,95,13,10/01/1985,Touchstone Books
42547,The Autobiography of Martin Luther King  Jr.,Martin Luther King Jr./Clayborne Carson,4.35,446676500,9780450000000.0,eng,400,14025,547,01/01/2001,Grand Central Publishing
42558,Bull Halsey,E.B. Potter,4.16,1591146917,9781590000000.0,eng,440,56,6,4/21/2003,US Naval Institute Press
42573,The Water Babies,Charles Kingsley/W. Heath Robinson,3.42,1853261483,9781850000000.0,eng,224,6148,318,12/05/1994,Wordsworth Editions
42579,Water  Water Everywhere: A Splash & Giggle Bath Book (Baby Einstein),Julie Aigner-Clark/Nadeem Zaidi,3.71,786819111,9780790000000.0,eng,10,79,10,09/01/2003,Hyperion Books for Children
42589,Shoot the Piano Player,David Goodis,4.02,679732543,9780680000000.0,eng,158,2768,143,10/03/1990,Vintage Crime/Black Lizard
42594,CliffsNotes on Shakespeare's Twelfth Night,James Lamar Roberts/CliffsNotes/William Shakespeare,4.16,822000946,9780820000000.0,eng,64,11,2,9/20/1960,Cliffs Notes
42597,Twelfth Night: Or What You Will,William Shakespeare/Elizabeth Story Donno/Penny Gay,3.98,052153514X,9780520000000.0,eng,186,62,7,3/15/2004,Cambridge University Press
42602,How to Spell Like a Champ,Barrie Trinkle/Paige Kimble/Carolyn  Andrews,4.17,761143696,9780760000000.0,eng,192,46,7,11/16/2006,Workman Publishing Company
42603,Black Like Me,John Howard Griffin,4.13,451208641,9780450000000.0,eng,208,53790,2118,05/06/2003,Berkley Books
42604,Men Are Like Waffles  Women Are Like Spaghetti,Bill Farrel/Pam Farrel,3.88,736904867,9780740000000.0,eng,253,952,117,01/01/2001,Harvest House Publishers
42606,As You Like It,William Shakespeare/Arkangel Cast/Victoria Hamilton/Niamh Cusack/Stephen Mangan,3.83,1932219048,9781930000000.0,en-US,2,28,6,09/06/2005,The Audio Partners
42607,As You Like It,William Shakespeare,3.83,074348486X,9780740000000.0,eng,263,62368,1291,8/23/2011,Simon Schuster
42609,As You Like It,William Shakespeare/Juliet Dusinberre,3.83,1904271227,9781900000000.0,eng,449,410,36,7/25/2006,Bloomsbury Arden Shakespeare
42612,As You Like It (No Fear Shakespeare),William Shakespeare/SparkNotes/John Crowther,3.83,1411401042,9781410000000.0,eng,256,265,36,6/22/2004,SparkNotes
42615,War of the Rats,David L. Robbins,4.11,055358135X,9780550000000.0,eng,512,1800,127,06/06/2000,Bantam
42622,Nimitz Class (Admiral Arnold Morgan  #1),Patrick Robinson,3.92,60564423,9780060000000.0,eng,495,5402,97,02/03/2004,Harper Paperbacks
42625,Nimitz Class (Admiral Arnold Morgan  #1),Patrick Robinson,3.92,61096849,9780060000000.0,eng,528,1,0,1/23/1998,HarperTorch
42631,Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life,Joanna Weaver,4.18,1578562589,9781580000000.0,eng,256,14711,442,7/18/2000,Waterbrook Press
42632,Thirst,Mary Oliver,4.36,807068969,9780810000000.0,eng,88,3689,351,10/15/2006,Beacon Press
42634,The Gilded Web (Web  #1),Mary Balogh,3.58,440243068,9780440000000.0,eng,480,2621,169,11/28/2006,Dell
42641,Resurrection,Leo Tolstoy/Louise Maude/Aylmer Maude,4.13,735102864,9780740000000.0,eng,562,11468,530,02/01/2000,Replica Books
42647,Cold Mountain,Charles Frazier,3.86,871136791,9780870000000.0,eng,356,1088,127,5/16/1997,Atlantic Monthly Press (NYC)
42652,Red Road From Stalingrad: Recollections of a Soviet Infantryman,Mansur Abdulin/Artem Drabkin,4.1,184415145X,9781840000000.0,en-US,195,82,4,1/19/2005,Pen & Sword Military
42661,The Fall of Berlin 1945,Antony Beevor,4.29,142002801,9780140000000.0,eng,490,10230,326,4/29/2003,Penguin Books
42662,Paris: After the Liberation 1944-1949,Antony Beevor/Artemis Cooper,3.83,142437921,9780140000000.0,eng,464,542,48,8/31/2004,Penguin Books
42668,Demon Angel (The Guardians  #1),Meljean Brook,3.53,425213471,9780430000000.0,eng,432,2704,237,01/02/2008,Berkley Sensation
